,iteration,x,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha
79,79,[4.75933191092566 8.78013012078496],0.493492209448548,0.0001,False,[-0.187021018003824 -4.59164681370396],[-0.194312299271343 -4.65649658216829],[0.0453641591735637 22.9848589006803],0.25,0.5,0.01
80,80,[4.76841512658109 8.78983005943148],0.450343069809251,0.0001,False,[-0.167277209486528 -4.39739758430073],[-0.174035981932732 -4.46217233376762],[0.0366729119935818 21.1609822075471],0.25,0.5,0.01
81,81,[4.77745995458703 8.79951635661334],0.409294813722549,0.0001,False,[-0.149043078610732 -4.20339881137036],[-0.155291304441232 -4.26809219196968],[0.0294433756376732 19.4147718874885],0.25,0.5,0.01
82,82,[4.78646333240934 8.80918773909910],0.370330696854056,0.0001,False,[-0.132253070282015 -4.00967286773326],[-0.138012628821819 -4.07427769879236],[0.0234671251183464 17.7461241968624],0.25,0.5,0.01
83,83,[4.79542184578880 8.81884274958529],0.333434319031401,0.0001,False,[-0.116841904920749 -3.81624521801797],[-0.122134585896016 -3.88075333821157],[0.0185595779319278 16.1549258804537],0.25,0.5,0.01
84,84,[4.80433167732026 8.82847970992096],0.298589573724803,0.0001,False,[-0.102744601904854 -3.62314500829424],[-0.107592097902644 -3.68754709077358],[0.0145580155762574 14.6410528157906],0.25,0.5,0.01
85,85,[4.81318854622224 8.83809667478610],0.265780587093322,0.0001,False,[-0.0898965060179491 -3.43040580158078],[-0.0943204039891229 -3.49469112387898],[0.0113196986852463 13.2043683896548],0.25,0.5,0.01
86,86,[4.82198763767229 8.84769137272513],0.234991643724260,0.0001,False,[-0.0782333174175568 -3.23806650427792],[-0.0822550890604483 -3.30222265917819],[0.00872007531970123 11.8447215378907],0.25,0.5,0.01
87,87,[4.83072351980744 8.85726113021138],0.206207095194507,0.0001,False,[-0.0676911257470238 -3.04617254549737],[-0.0713321165753800 -3.11018507391757],[0.00665108191230031 10.5619443574163],0.25,0.5,0.01
88,88,[4.83939004619640 8.86680277261312],0.179411246158716,0.0001,False,[-0.0582064491505359 -2.85477739577243],[-0.0614878660067469 -2.91862931530872],[0.00501953631750712 9.35584916841478],0.25,0.5,0.01
89,89,[4.84798024130338 8.87631249322273],0.154588210603126,0.0001,False,[-0.0497162791199275 -2.66394454773769],[-0.0526591758416323 -2.72761573963044],[0.00374562236351883 8.22622486091806],0.25,0.5,0.01
90,90,[4.85648616622900 8.88578567736382],0.131721727847043,0.0001,False,[-0.0421581323137594 -2.47375013554534],[-0.0447833931957277 -2.53721653656662],[0.00276146524185164 7.17283229701433],0.25,0.5,0.01
