,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
74,adam,relu,74,[1000.00000000000],[8.99291889313849],-1738.25483960613,0.0001,False,[0],[0.000898922191931926],[1.17549407056259e-38],0.9,0.25,0.1,[0],[0],-1738.25483960613
75,adam,relu,75,[1000.00000000000],[8.09329415302995],-1739.06416902143,0.0001,False,[0],[0.000809029972738733],[2.93873517640649e-39],0.9,0.25,0.1,[0],[0],-1739.06416902143
76,adam,relu,76,[1000.00000000000],[7.28369514964908],-1739.79253853639,0.0001,False,[0],[0.000728126975464860],[7.34683794101622e-40],0.9,0.25,0.1,[0],[0],-1739.79253853639
77,adam,relu,77,[1000.00000000000],[6.55510728369638],-1740.44804926476,0.0001,False,[0],[0.000655314277918374],[1.83670948525405e-40],0.9,0.25,0.1,[0],[0],-1740.44804926476
78,adam,relu,78,[1000.00000000000],[5.89941970221950],-1741.03799123499,0.0001,False,[0],[0.000589782850126537],[4.59177371313514e-41],0.9,0.25,0.1,[0],[0],-1741.03799123499
79,adam,relu,79,[1000.00000000000],[5.30933448913955],-1741.56892468390,0.0001,False,[0],[0.000530804565113883],[1.14794342828378e-41],0.9,0.25,0.1,[0],[0],-1741.56892468390
80,adam,relu,80,[1000.00000000000],[4.77828501945795],-1742.04675318584,0.0001,False,[0],[0.000477724108602495],[2.86985857070946e-42],0.9,0.25,0.1,[0],[0],-1742.04675318584
81,adam,relu,81,[1000.00000000000],[4.30036254502565],-1742.47678944035,0.0001,False,[0],[0.000429951697742245],[7.17464642677365e-43],0.9,0.25,0.1,[0],[0],-1742.47678944035
82,adam,relu,82,[1000.00000000000],[3.87025017596924],-1742.86381445794,0.0001,False,[0],[0.000386956527968021],[1.79366160669341e-43],0.9,0.25,0.1,[0],[0],-1742.86381445794
83,adam,relu,83,[1000.00000000000],[3.48316350788736],-1743.21213080873,0.0001,False,[0],[0.000348260875171219],[4.48415401673353e-44],0.9,0.25,0.1,[0],[0],-1743.21213080873
